,2022_05_09T11_13_38_coda,2022_05_09T11_13_38_envelope,2023_03_22T14_50_33_coda,2023_03_22T14_50_33_envelope,2018_11_18T12_48_44_coda,2018_11_18T12_48_44_envelope,2023_06_16T16_38_28_coda,2023_06_16T16_38_28_envelope,2012_12_30T23_35_02_coda,2012_12_30T23_35_02_envelope
OGCN,5.772666824628666e-10,4.3757140567153445e-10,9.60535698480026e-10,1.19076951887892e-09,5.073583242927377e-10,5.81434113330126e-10,1.1990309019836298e-08,3.7853029084356786e-08,0.0,0.0
TRIGF,1.0401605652529524e-10,7.548365326270371e-11,1.8541730575861006e-10,2.3727827610881286e-10,4.0022317878119997e-10,4.872706775616498e-10,0.0,0.0,0.0,0.0
BEBN,2.029143473888663e-09,1.3654668972840423e-09,2.1541708875707602e-09,2.858078822322113e-09,0.0,0.0,6.216329273778393e-09,2.673255459649346e-08,0.0,0.0
BOUF,2.9662290362997903e-10,2.0991799962504437e-10,5.898123265071645e-10,8.10949933907356e-10,0.0,0.0,0.0,0.0,0.0,0.0
RUFF,5.584706623207316e-10,4.75123485346462e-10,1.1789171066936882e-09,1.601023762987958e-09,0.0,0.0,1.0984661525409652e-08,3.184429441961356e-08,0.0,0.0
MDI,4.9064873438805e-10,3.8892036244713416e-10,5.71465420633587e-10,7.427028069886293e-10,0.0,0.0,4.822770640467634e-09,2.0530758515034492e-08,0.0,0.0
VILS,6.3989895825428e-10,4.929393504391213e-10,0.0,0.0,0.0,0.0,8.830967064558374e-09,3.769751524649608e-08,0.0,0.0
LGIF,1.5798352499563419e-10,7.892225880403568e-11,5.977756456922585e-10,7.767266246536223e-10,0.0,0.0,0.0,0.0,0.0,0.0
MG58,4.878181084271497e-10,3.5830113605729387e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROTHE,2.8482840845466267e-10,1.8265101997232184e-10,0.0,0.0,3.878021853403471e-10,4.1673266260983727e-10,8.096606799084127e-09,2.6208394018914823e-08,0.0,0.0
FDGR,1.5450967961190443e-09,1.4066257713812524e-09,3.865052639331406e-09,3.514570562066978e-09,0.0,0.0,1.481649554117478e-08,5.2622080707125695e-08,1.223880390394551e-09,4.746317793124384e-09
CSOR,1.2634474941880635e-10,7.408510234075182e-11,0.0,0.0,0.0,0.0,4.0330794502744405e-09,1.3005945301960871e-08,0.0,0.0
FUSIO,2.30145338429264e-10,1.67834295142529e-10,0.0,0.0,3.289407314783461e-10,3.701334526746724e-10,4.2047267627263044e-09,1.7280241885602947e-08,2.588320922303484e-10,8.888101298181826e-10
BSTF,3.252787442015243e-10,2.425665725396188e-10,5.561236133703745e-10,7.500523640969928e-10,9.674889606556896e-10,1.183388659169717e-09,1.5936133678390948e-10,3.1158106888904126e-10,0.0,0.0
BERNI,1.4227258755795035e-10,9.269033886337123e-11,2.2117866600932863e-10,2.9287958804818924e-10,2.8550218693810393e-10,3.0065025971639633e-10,3.820741294824612e-09,1.3812192007155344e-08,2.4103188402332326e-10,6.869584758011646e-10
OGS2,2.1659475867023508e-10,1.5427510900096963e-10,2.369021300401449e-10,3.037380363424929e-10,0.0,0.0,0.0,0.0,1.7208401970540199e-10,4.4653800382770697e-10
RRL,2.5172758257884184e-10,1.6349504294140668e-10,4.4068244550279854e-10,5.832513579050602e-10,0.0,0.0,7.824361124120928e-09,2.2393563845628823e-08,3.824734729998939e-10,8.733007279973767e-10
FLAF,2.6165437007065037e-10,2.0232244127512003e-10,3.5591481644409937e-10,4.665860230657046e-10,6.14773704267034e-10,8.093925359503033e-10,3.9660835918043804e-09,1.2214678634689097e-08,0.0,0.0
ZVGAR,1.1619869713856123e-10,8.845437584289569e-11,0.0,0.0,0.0,0.0,4.434482282929372e-09,1.1239719942194237e-08,0.0,0.0
SAIRA,3.7460907058618925e-10,2.6546271315432527e-10,0.0,0.0,3.198381794260084e-10,3.3677600216700167e-10,7.565787496617088e-09,2.4221412496046153e-08,0.0,0.0
VIEF,2.9364904256534007e-10,1.5111140763821464e-10,0.0,0.0,0.0,0.0,8.249958716822165e-09,2.5730560631931173e-08,0.0,0.0
VNIG,9.374992111588067e-10,7.288423067662494e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERN1,1.0108409376660223e-09,7.774081815862143e-10,0.0,0.0,2.903902665243041e-10,3.5332584627155476e-10,4.047086134410521e-09,1.238120503531423e-08,0.0,0.0
IRAF,2.1695246870540157e-10,1.0491147310112364e-10,0.0,0.0,0.0,0.0,6.845634998341007e-09,1.8661641603083518e-08,0.0,0.0
PZZ,2.9986082419212086e-10,2.0556856307020726e-10,5.90961267223114e-10,7.42300404504015e-10,7.110909906661073e-10,8.33703997336693e-10,7.479692269222331e-09,2.2232554012213144e-08,5.143871384859354e-10,1.1090253659423576e-09
RUSF,2.3076257145814159e-10,1.391752028017865e-10,5.173015181566273e-10,6.63662487255536e-10,6.517926441989444e-10,8.344007808367884e-10,9.3638153176983e-09,2.3652952042312626e-08,5.520034178660111e-10,9.080047273022719e-10
FUORN,2.0412252942515416e-10,1.6974204529243258e-10,3.1259380187621486e-10,4.060177228740364e-10,2.601472846440485e-10,2.633517414327194e-10,3.4802306706101094e-09,1.7906539845738368e-08,2.447826028847359e-10,8.138971726783504e-10
ZUR,1.641240103246691e-09,1.182546934233293e-09,0.0,0.0,8.151719858415541e-10,9.831635418280863e-10,8.807260746594359e-09,2.6200771779614793e-08,6.659513854407289e-10,1.7270241645510954e-09
RETA,6.101787582282391e-10,5.872753278515407e-10,5.298312632466721e-10,6.819881682764496e-10,3.920186019726657e-10,4.1865537456095533e-10,6.941070088748017e-09,2.7858801342915943e-08,0.0,0.0
CHMF,5.983351163994866e-10,3.3726916064076067e-10,0.0,0.0,7.919232236749941e-10,8.583423632620361e-10,1.8142934971818653e-08,5.8649663012854924e-08,9.832627061623074e-10,3.172767681773439e-09
OGVA,1.8429570407315324e-10,1.2241423521843068e-10,0.0,0.0,0.0,0.0,5.268291207228086e-09,1.3810077059611152e-08,0.0,0.0
MFERR,2.881966503016594e-10,2.0782833233764788e-10,0.0,0.0,0.0,0.0,5.086413129739753e-09,1.6005882146761756e-08,0.0,0.0
PCP,2.0243650739426448e-10,1.5772648168968374e-10,2.927795644769497e-10,3.8343181606380975e-10,5.816634289715593e-10,6.741220927456941e-10,3.263837107321564e-09,1.17586976922493e-08,3.1061441115994537e-10,5.314892765064638e-10
MVIF,2.5498043947249423e-10,1.972566019015622e-10,2.486232448851802e-10,3.1003523715899317e-10,3.4086159795843304e-10,4.3053838630303775e-10,2.454859215763635e-09,8.353871113485372e-09,0.0,0.0
TRAV,4.5758357996805486e-10,3.3147733419360886e-10,5.8848653656926e-10,7.59190686588572e-10,0.0,0.0,6.484082169755746e-09,1.8637194253344556e-08,3.3522397138872795e-10,9.136493531079556e-10
CLMF,6.68558493769303e-10,6.299336758245103e-10,1.1864068714133946e-09,1.5617590858126915e-09,0.0,0.0,0.0,0.0,0.0,0.0
SDOF,4.4419507335555125e-10,2.7984266311183955e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMPL,1.0899315638729527e-10,7.920454499718118e-11,1.0977085136599552e-10,1.2940355044830334e-10,3.7143668987300017e-10,4.901251810988244e-10,9.065357766641667e-10,3.445057787886224e-09,2.6720700670026675e-10,3.206643986262448e-10
