time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-07-22T16:49:37.769Z,39.8139,20.6756,22.49,4.6,mb,,38,0.524,1.1,us,us6000ey1q,2021-09-25T21:08:35.040Z,"4 km WSW of Asprángeloi, Greece",earthquake,3.8,4.2,0.064,81,reviewed,us,us
2021-06-01T15:56:14.851Z,39.8112,22.1323,5.2,4.7,mb,,35,0.4,0.77,us,us6000egnk,2021-08-07T22:06:59.040Z,"10 km SSW of Elassóna, Greece",earthquake,4.6,4.1,0.085,44,reviewed,us,us
2021-05-11T21:31:01.845Z,40.5284,20.9853,10,4.8,mww,,23,0.994,0.97,us,us7000e277,2021-12-07T15:33:16.952Z,"11 km S of Bilisht, Albania",earthquake,4.6,1.8,0.045,48,reviewed,us,us
2021-04-15T04:33:34.890Z,42.4764,16.0722,19.4,4.6,mb,,70,1.675,0.33,us,us6000e1pg,2021-06-19T21:25:40.040Z,"59 km N of Peschici, Italy",earthquake,5.3,5.4,0.172,10,reviewed,us,us
2021-04-06T08:54:21.522Z,45.2099,16.2781,10,4.7,mb,,37,0.791,0.94,us,us6000dzdc,2021-06-12T21:37:43.040Z,"16 km NNW of Dvor, Croatia",earthquake,3.6,1.6,0.092,36,reviewed,us,us
2021-03-27T13:47:55.267Z,42.4479,16.0496,7,5.5,mww,,30,1.651,0.88,us,us6000dx0m,2021-12-11T13:15:43.423Z,"55 km N of Peschici, Italy",earthquake,4.6,1.8,0.043,53,reviewed,us,us
2021-03-12T21:17:09.532Z,41.6223,20.7274,10,4.6,mb,,32,1.358,0.74,us,us7000diy4,2021-05-26T22:06:24.040Z,"10 km E of Rostusa, North Macedonia",earthquake,5.1,1.8,0.061,81,reviewed,us,us
2021-03-12T12:57:50.879Z,39.8931,22.0875,7,5.6,mww,,31,0.373,0.49,us,us7000dimf,2021-05-26T22:06:15.040Z,"8 km W of Elassóna, Greece",earthquake,4,1.8,0.043,53,reviewed,us,us
2021-03-05T10:01:13.794Z,39.8056,21.9612,10,4.5,mb,,60,0.503,0.57,us,us7000difk,2021-05-21T19:49:59.040Z,"2 km NNW of Verdikoússa, Greece",earthquake,2,1.9,0.092,35,reviewed,us,us
2021-03-05T09:59:59.049Z,39.7964,22.0456,10,4.6,mb,,67,0.458,0.57,us,us7000dfxf,2021-05-21T19:46:44.040Z,"6 km ENE of Verdikoússa, Greece",earthquake,4.4,1.9,0.107,26,reviewed,us,us
2021-03-04T19:31:32.531Z,39.802,22.0039,10,4.6,mb,,42,0.479,1.14,us,us7000dhtm,2021-05-13T22:45:32.040Z,"3 km NE of Verdikoússa, Greece",earthquake,4.7,1.9,0.157,12,reviewed,us,us
2021-03-04T19:23:51.987Z,39.8812,21.9795,10,5.5,mb,,20,0.45,0.99,us,us7000dfld,2021-05-13T22:45:31.040Z,"7 km S of Kraniá Elassónas, Greece",earthquake,4.8,1.8,0.028,440,reviewed,us,us
2021-03-04T18:45:27.370Z,39.7931,21.9916,10,4.5,mb,,88,0.492,0.64,us,us7000dhup,2021-05-13T22:45:29.040Z,"1 km NE of Verdikoússa, Greece",earthquake,2.9,1.9,0.271,4,reviewed,us,us
2021-03-04T18:38:19.386Z,39.7865,22.1157,10,5.8,mb,,19,0.427,0.91,us,us7000dfku,2024-04-06T17:27:59.445Z,"11 km E of Verdikoússa, Greece",earthquake,5.5,1.8,0.036,277,reviewed,us,us
2021-03-04T09:36:16.660Z,39.7457,22.1311,10,4.6,mwr,,36,0.451,0.62,us,us7000dfe8,2021-05-13T22:43:22.040Z,"13 km W of Týrnavos, Greece",earthquake,5.6,1.9,0.098,10,reviewed,us,us
2021-03-03T18:24:09.041Z,39.7227,22.1153,14.74,5.1,mww,,17,0.476,0.95,us,us7000df7z,2021-05-13T22:42:32.040Z,"11 km NNE of Grizáno, Greece",earthquake,4.3,3.2,0.053,34,reviewed,us,us
2021-03-03T10:21:35.074Z,39.5708,22.0342,10,4.9,mb,,84,0.596,0.51,us,us7000dh62,2021-05-13T22:41:59.040Z,"6 km SE of Oichalía, Greece",earthquake,4.1,1.8,0.102,33,reviewed,us,us
2021-03-03T10:20:45.759Z,39.7681,22.0881,10,4.8,mb,,47,0.455,0.5,us,us7000dh69,2021-05-13T22:41:58.040Z,"9 km E of Verdikoússa, Greece",earthquake,6.5,1.9,0.16,16,reviewed,us,us
2021-01-12T07:26:33.870Z,40.0828,19.7021,10,4.5,mb,,47,0.376,1.09,us,us6000d7nf,2021-03-20T21:24:37.040Z,"4 km WSW of Himarë, Albania",earthquake,5.2,1.9,0.15,13,reviewed,us,us
