,2012_01_27T14_53_13_coda,2012_01_27T14_53_13_envelope,2022_03_12T17_03_22_coda,2022_03_12T17_03_22_envelope,2023_03_22T14_50_33_coda,2023_03_22T14_50_33_envelope,2012_12_30T23_35_02_coda,2012_12_30T23_35_02_envelope
GRB1,1.6303501560349112e-08,4.7018625509043124e-09,0.0,0.0,0.0,0.0,0.0,0.0
GROS,3.74914930135548e-09,1.219662520728585e-09,3.775697457759082e-10,1.152936388820458e-10,3.6944289366921735e-10,4.896239999241809e-10,0.0,0.0
WIMIS,2.954959013855606e-09,1.1547657874055703e-09,0.0,0.0,0.0,0.0,3.60820941048512e-10,9.560070327086731e-10
AQU,6.501643422170017e-09,2.2194223369578632e-09,0.0,0.0,0.0,0.0,0.0,0.0
MCEL,2.526172579564234e-09,7.217356754973467e-10,0.0,0.0,0.0,0.0,0.0,0.0
STU,9.969843432615132e-09,3.924122096000043e-09,2.4110394310172433e-09,1.308404645847609e-09,3.592064180562428e-09,4.742044429228236e-09,0.0,0.0
GED7,1.047482013525366e-10,3.055879101966919e-11,0.0,0.0,0.0,0.0,0.0,0.0
KHC,6.959117400988512e-09,1.931440923771629e-09,8.520247275104071e-10,1.7149606634126703e-10,2.653615080640845e-10,3.3025043879357943e-10,0.0,0.0
MYKA,4.170184889503793e-09,1.3945970113475443e-09,5.88993483681533e-10,2.2915170730855643e-10,3.5211829582431296e-10,4.726480102518617e-10,0.0,0.0
KLAUS,4.5414186425290985e-09,1.506244945231296e-09,1.944582968129641e-09,4.942632467348921e-10,1.5647216615376304e-09,1.983127039927844e-09,6.30115499216353e-10,2.882456712725334e-09
PE09,2.4418797211062683e-09,9.938765022024195e-10,0.0,0.0,0.0,0.0,0.0,0.0
PE15,1.9017454758639262e-09,8.089216647701233e-10,0.0,0.0,0.0,0.0,0.0,0.0
BRANT,8.143133608752681e-09,2.128446838527235e-09,0.0,0.0,0.0,0.0,8.148886796584664e-10,2.186686379174635e-09
TOLF,1.456932905997931e-09,5.220987768527331e-10,1.4439569649146224e-09,7.674204847636976e-10,0.0,0.0,0.0,0.0
CDRU,1.813106766672331e-09,4.939617382231234e-10,0.0,0.0,0.0,0.0,0.0,0.0
PF09,3.374260447757168e-09,1.1123491549765003e-09,0.0,0.0,0.0,0.0,0.0,0.0
PY35B,3.044451797339666e-09,9.754706887385815e-10,0.0,0.0,0.0,0.0,3.8410651974084926e-10,7.552910424420085e-10
GEB3,1.0649885756975522e-10,3.0646498945857327e-11,0.0,0.0,0.0,0.0,0.0,0.0
PY30,1.924734143155353e-09,4.986890498910728e-09,0.0,0.0,0.0,0.0,2.470609297537714e-10,5.618783710569121e-10
BALST,7.216236834843176e-09,2.222654679126716e-09,0.0,0.0,0.0,0.0,6.851422473246494e-10,2.2704053364687194e-09
TRBF,4.863424600079562e-09,1.653455797855583e-09,1.5123683428728523e-09,5.16900854338379e-10,0.0,0.0,5.232175393474497e-10,1.4423212648802993e-09
LAUCH,3.593176510682385e-09,1.291671661082091e-09,0.0,0.0,0.0,0.0,3.461774525292201e-10,9.387757120153547e-10
GED9,1.271163833394196e-10,3.505404917387289e-11,0.0,0.0,0.0,0.0,0.0,0.0
PF15,2.716582245175526e-09,1.149740391348621e-09,0.0,0.0,0.0,0.0,0.0,0.0
SGG,3.491098429696822e-09,8.776632010935376e-10,0.0,0.0,0.0,0.0,0.0,0.0
SULZ,1.1056646908787112e-08,3.689286268287219e-09,1.465707130167621e-09,4.773761539498735e-10,0.0,0.0,9.699285301755052e-10,3.0226810095967535e-09
WBG,0.9803441494766332,0.2670398081263969,0.0,0.0,0.0,0.0,0.0,0.0
STAL,5.901097884313565e-09,1.7534947698850615e-09,0.0,0.0,0.0,0.0,0.0,0.0
BFO,5.821420704298936e-09,2.177603008630776e-09,5.933659698685146e-10,1.6719131291400736e-10,0.0,0.0,6.227103817827492e-10,2.4691819959199244e-09
TREC,6.447884876423563e-09,1.951580688658788e-09,0.0,0.0,5.548124064192999e-10,1.0305418397805694e-09,0.0,0.0
GRC3,1.2507352245491232e-08,3.579213015164294e-09,0.0,0.0,0.0,0.0,0.0,0.0
GED5,1.2379123557111327e-10,3.133628983048574e-11,0.0,0.0,0.0,0.0,0.0,0.0
ACOM,6.923429299977031e-09,2.173998524975838e-09,2.6726156031944003e-10,9.213393804056659e-11,2.2770889416097638e-10,3.013384929971421e-10,0.0,0.0
NKC,1.0958818301477104e-08,3.0321778822989358e-09,0.0,0.0,3.2009630870161126e-10,4.1529977407085716e-10,0.0,0.0
PALZ,1.5538263181198662e-08,4.914469185985955e-09,0.0,0.0,0.0,0.0,0.0,0.0
GCIS,2.6385159157661523e-09,7.728209606501414e-10,0.0,0.0,3.2535055431839776e-10,4.100940535064839e-10,0.0,0.0
ABG1,1.0308173585701053e-08,3.052166315898164e-09,0.0,0.0,0.0,0.0,0.0,0.0
GBRS,3.838979305928045e-09,1.137814626644828e-09,3.135510732642737e-10,1.4483045800046847e-10,1.954802324767273e-10,2.6222108834379545e-10,0.0,0.0
PVCC,1.810085282716465e-08,5.1361730439958535e-09,0.0,0.0,7.568840755023888e-10,1.0035642931604066e-09,0.0,0.0
TIEF,6.9344204672637394e-09,2.397034532856143e-09,0.0,0.0,0.0,0.0,0.0,0.0
HGN,3.1443105490449836e-09,1.1008983108629232e-09,7.884213554773752e-10,2.2832016424620342e-10,5.413418533689852e-10,7.436884876604535e-10,0.0,0.0
MODR,2.0887976580372038e-09,7.488442473208687e-10,0.0,0.0,0.0,0.0,0.0,0.0
PY28,4.551684243539578e-09,1.587588646626887e-09,0.0,0.0,0.0,0.0,0.0,0.0
BRMO,3.3200094586580877e-09,1.2335386266705794e-09,4.3964740000615446e-10,1.882157622520796e-10,5.471013653947732e-10,7.363102561649661e-10,2.7395906373848885e-10,7.482020431798248e-10
ZAG,2.9403174691701085e-08,1.1613235573999434e-08,0.0,0.0,0.0,0.0,0.0,0.0
GUMA,9.874885685146694e-09,2.569376722214072e-09,3.3886307557968473e-09,1.678468916444689e-09,0.0,0.0,0.0,0.0
ARSA,6.596326972344574e-09,2.123214227505793e-09,0.0,0.0,7.469881817366201e-10,1.0004786321934e-09,0.0,0.0
SABO,5.658774231444553e-09,1.671853054302402e-09,4.065509454942811e-10,1.8379299798308558e-10,2.0958128647328622e-10,2.6735566247133877e-10,0.0,0.0
PF13,2.6323688738967228e-09,9.300403221554312e-10,0.0,0.0,0.0,0.0,0.0,0.0
TAUT,1.9357305961457937e-08,5.3920013819592934e-09,0.0,0.0,0.0,0.0,0.0,0.0
LDAU,4.8295876641113664e-08,2.018050178238178e-08,0.0,0.0,0.0,0.0,0.0,0.0
GED1,1.2040592037622718e-10,3.200157596297738e-11,0.0,0.0,0.0,0.0,0.0,0.0
ATTE,2.8553175021880714e-09,9.55532263701361e-10,0.0,0.0,0.0,0.0,0.0,0.0
SAIRA,3.140220115503738e-09,1.1300685023451567e-09,0.0,0.0,0.0,0.0,0.0,0.0
PANIX,2.698805264431264e-09,8.702418676073393e-10,2.850516866994473e-10,8.998798324555775e-11,0.0,0.0,2.0829907037206257e-10,7.02198307904464e-10
PTQR,2.4074755458800246e-09,7.81150860204957e-10,7.48734945621481e-10,3.10373583428007e-10,0.0,0.0,0.0,0.0
MRGE,4.923948165810754e-09,1.559845963103844e-09,0.0,0.0,0.0,0.0,4.2630276233879963e-10,1.0907599161619898e-09
WMG,6.210827660276358e-09,1.899856527919452e-09,1.423018310576286e-09,4.4643790851117934e-10,1.2278386442492007e-09,1.6429633821741523e-09,8.394981080986828e-10,4.462504361826274e-09
SLCN,3.390903721154146e-09,1.1169652774786048e-09,0.0,0.0,0.0,0.0,0.0,0.0
AVP,5.6505992254751305e-09,1.939329887877153e-09,0.0,0.0,1.3112393085499352e-09,1.7353899629851763e-09,7.768326679511572e-10,1.756783683226596e-09
CSNA,9.204460160269154e-09,2.549577580346108e-09,0.0,0.0,7.216048574515972e-10,9.732905939626863e-10,0.0,0.0
SNTG,3.101397178265297e-09,9.727620757435652e-10,3.052079769308748e-10,1.6676401745026348e-10,2.044267359651267e-09,2.602494920562318e-09,0.0,0.0
POSS,1.1617710629533436e-08,3.395478090778945e-09,0.0,0.0,0.0,0.0,0.0,0.0
SCHD,8.010949584376593e-09,2.5740899461582342e-09,0.0,0.0,0.0,0.0,0.0,0.0
MMK,2.584685653718891e-09,8.86242075595335e-10,0.0,0.0,0.0,0.0,2.6332235089749944e-10,6.995960300000309e-10
AIGLE,4.496464923993642e-09,1.32248836779239e-09,0.0,0.0,0.0,0.0,3.898949557992799e-10,9.91126782287755e-10
GORS,4.929611234782169e-09,1.459038621915402e-09,3.722192268506479e-10,1.1821069981626343e-10,3.1580608275465147e-10,4.0157516295497186e-10,0.0,0.0
FSSB,2.792012421296829e-09,1.1015179374251899e-09,0.0,0.0,0.0,0.0,0.0,0.0
GEC3,1.0586396566510816e-10,3.1875327424618467e-11,0.0,0.0,0.0,0.0,0.0,0.0
PF12,4.0801973293705755e-09,1.1986779727741718e-09,0.0,0.0,0.0,0.0,0.0,0.0
MTCE,5.171517606697046e-09,2.600918607709136e-09,9.875132210760076e-10,5.74027102502142e-10,0.0,0.0,0.0,0.0
POLC,3.574310375594485e-09,1.31424891628358e-09,5.565106294932407e-10,2.6628176462847533e-10,8.307993360789343e-10,1.0429730761667198e-09,0.0,0.0
PIEI,2.547564413402047e-09,7.65753318125435e-10,2.7681466872181376e-10,1.3277629938602864e-10,1.95049731055957e-10,2.4918890453352305e-10,0.0,0.0
PTCC,4.8510264530910714e-09,1.3247113413937204e-09,0.0,0.0,3.416820240540105e-10,4.3276920840357434e-10,0.0,0.0
BOJS,4.142875277729446e-09,1.2465381959655279e-09,3.4757494896438517e-10,1.3581424489494055e-10,2.4584846194873025e-10,3.2424639622928615e-10,0.0,0.0
MSAG,6.137365445965851e-09,1.95116116358624e-09,0.0,0.0,0.0,0.0,0.0,0.0
GRC4,1.4341371211750513e-08,5.017045514612876e-09,0.0,0.0,0.0,0.0,0.0,0.0
ATMI,9.946453541594882e-09,3.5798001844525904e-09,1.364797225119142e-09,6.499731123554932e-10,1.3850651584771042e-09,1.6834142022385803e-09,0.0,0.0
HASLI,3.764870875084064e-09,1.2626603033182106e-09,0.0,0.0,0.0,0.0,3.603294574013186e-10,1.0040292343213727e-09
NALPS,1.575252233558881e-09,5.053351113916755e-10,0.0,0.0,0.0,0.0,1.2609198429825226e-10,3.832799043826522e-10
SSB,3.6836508301274764e-09,1.3378075213314031e-09,0.0,0.0,6.612269428464457e-10,8.73985675959458e-10,5.05786279542042e-10,1.2093143117590401e-09
TERO,4.145123648427644e-09,1.0870971642467288e-09,7.388638039499462e-10,4.1429611218358957e-10,0.0,0.0,0.0,0.0
ROM9,2.0967473868677323e-08,1.0058918627765358e-08,0.0,0.0,0.0,0.0,0.0,0.0
MGR,1.9529883872460237e-09,6.02908932286802e-10,0.0,0.0,0.0,0.0,0.0,0.0
PE12,2.144210981801056e-09,9.61797630023802e-10,0.0,0.0,0.0,0.0,0.0,0.0
MOX,8.287382543922157e-09,2.5309457702009427e-09,0.0,0.0,0.0,0.0,0.0,0.0
WILW,2.4519212056770604e-09,8.764517962913412e-10,7.75081730612446e-10,2.7488540488557075e-10,6.297276703237898e-10,8.107140727931806e-10,3.934082669569377e-10,1.8208564233572844e-09
GIMEL,3.2893695613279623e-09,1.0448908419891842e-09,0.0,0.0,0.0,0.0,3.9472521612905395e-10,9.883603898056396e-10
SKDS,3.5135158308769636e-09,1.214420260625328e-09,5.88292933872286e-10,3.093806129441365e-10,2.921228787670312e-10,3.7410375088580253e-10,0.0,0.0
VINO,2.6531870862546487e-09,8.795831801769537e-10,3.1188246651975726e-10,1.1349586208217187e-10,1.6993798352476867e-10,2.3750278926634413e-10,0.0,0.0
